,pod,job,size,start_time,finished_time,elapsed_time,experiment
0,lmp-0-0-size-2-2-2-2-0-k5mqq,lmp-0-0-size-2-2-2-2,2,2024-04-14T20:21:11Z,2024-04-14T20:21:51Z,40,static-max-size
1,lmp-0-0-size-2-2-2-2-1-2x92s,lmp-0-0-size-2-2-2-2,2,2024-04-14T20:21:11Z,2024-04-14T20:21:49Z,38,static-max-size
2,lmp-0-3-size-4-2-2-2-0-5j9rq,lmp-0-3-size-4-2-2-2,4,2024-04-14T20:20:23Z,2024-04-14T20:21:06Z,43,static-max-size
3,lmp-0-3-size-4-2-2-2-1-b4crh,lmp-0-3-size-4-2-2-2,4,2024-04-14T20:20:23Z,2024-04-14T20:21:05Z,42,static-max-size
4,lmp-0-3-size-4-2-2-2-2-sgsmr,lmp-0-3-size-4-2-2-2,4,2024-04-14T20:20:23Z,2024-04-14T20:21:05Z,42,static-max-size
5,lmp-0-3-size-4-2-2-2-3-6nvnk,lmp-0-3-size-4-2-2-2,4,2024-04-14T20:20:23Z,2024-04-14T20:21:05Z,42,static-max-size
6,lmp-0-6-size-6-2-2-2-0-rwdl5,lmp-0-6-size-6-2-2-2,6,2024-04-14T20:21:07Z,2024-04-14T20:21:49Z,42,static-max-size
7,lmp-0-6-size-6-2-2-2-1-dqxcq,lmp-0-6-size-6-2-2-2,6,2024-04-14T20:21:07Z,2024-04-14T20:21:47Z,40,static-max-size
8,lmp-0-6-size-6-2-2-2-2-7f98j,lmp-0-6-size-6-2-2-2,6,2024-04-14T20:21:07Z,2024-04-14T20:21:47Z,40,static-max-size
9,lmp-0-6-size-6-2-2-2-3-s6hkt,lmp-0-6-size-6-2-2-2,6,2024-04-14T20:21:07Z,2024-04-14T20:21:47Z,40,static-max-size
10,lmp-0-6-size-6-2-2-2-4-lgkjc,lmp-0-6-size-6-2-2-2,6,2024-04-14T20:21:07Z,2024-04-14T20:21:47Z,40,static-max-size
11,lmp-0-6-size-6-2-2-2-5-ltbtz,lmp-0-6-size-6-2-2-2,6,2024-04-14T20:21:07Z,2024-04-14T20:21:47Z,40,static-max-size
