,node,creation_time,noticed_disappeared_time,elapsed_time
1,gke-ensemble-cluster-default-pool-7bb48b67-1p3f,2024-04-14 19:27:59,2024-04-14 20:06:11.977687,2292
2,gke-ensemble-cluster-default-pool-7bb48b67-c2cj,2024-04-14 19:27:59,2024-04-14 20:06:11.977687,2292
0,gke-ensemble-cluster-default-pool-7bb48b67-027d,2024-04-14 19:28:00,2024-04-14 20:06:11.977687,2291
3,gke-ensemble-cluster-default-pool-7bb48b67-wjs8,2024-04-14 19:59:24,2024-04-14 20:06:11.969391,407
4,gke-ensemble-cluster-default-pool-7bb48b67-6zxh,2024-04-14 19:59:25,2024-04-14 20:06:11.969405,406
5,gke-ensemble-cluster-default-pool-7bb48b67-ggld,2024-04-14 19:59:54,2024-04-14 20:06:11.969409,377
6,gke-ensemble-cluster-default-pool-7bb48b67-mpw2,2024-04-14 19:59:56,2024-04-14 20:06:11.969413,375
7,gke-ensemble-cluster-default-pool-7bb48b67-qnbb,2024-04-14 19:59:58,2024-04-14 20:06:11.969417,373
8,gke-ensemble-cluster-default-pool-7bb48b67-x7nn,2024-04-14 19:59:58,2024-04-14 20:06:11.969420,373
