,pod,job,size,start_time,finished_time,elapsed_time,experiment
0,"ensemble-0-0-[2,6-7,14]",465148313600,4,1713146944.0040052,,19.57542896270752,ensemble-descending
1,ensemble-0-0-[8-9],466289164288,2,1713146944.071939,,8.313311100006104,ensemble-descending
2,ensemble-0-0-[10-11],466691817472,2,1713146944.0953288,,8.2221360206604,ensemble-descending
3,ensemble-0-0-[0-1],465903288320,2,1713146944.0491147,,10.564499855041504,ensemble-descending
4,"ensemble-0-0-[12-13,15-16]",465534189568,4,1713146944.0266175,,8.812326431274414,ensemble-descending
5,ensemble-0-0-[2-5],464762437632,4,1713146943.9812286,,12.878748178482056,ensemble-descending
6,"ensemble-0-0-[0-1,8-11]",463621586944,6,1713146943.9132125,,26.011234045028687,ensemble-descending
7,"ensemble-0-0-[0-1,12-13,15-16]",464393338880,6,1713146943.9586496,,12.7311429977417,ensemble-descending
8,ensemble-0-0-[2-7],464007462912,6,1713146943.9361386,,8.016187906265259,ensemble-descending
9,ensemble-0-0-[0-7],463235710976,8,1713146943.8901207,,11.500205516815186,ensemble-descending
10,ensemble-0-0-[0-7],462866612224,8,1713146943.867628,,8.016345500946045,ensemble-descending
11,"ensemble-0-0-[0-5,7-8]",462480736256,8,1713146943.8445172,,8.42289400100708,ensemble-descending
