,pod,job,size,start_time,finished_time,elapsed_time,experiment
0,ensemble-0-0-[0-7],485264195584,8,1713146409.3642163,,8.971185684204102,ensemble-ascending
1,ensemble-0-0-[0-7],484895096832,8,1713146409.3413827,,8.93904709815979,ensemble-ascending
2,"ensemble-0-0-[0-5,9-10]",484492443648,8,1713146409.3182378,,8.78999400138855,ensemble-ascending
3,ensemble-0-0-[0-5],484123344896,6,1713146409.2953353,,8.54710078239441,ensemble-ascending
4,ensemble-0-0-[0-5],483737468928,6,1713146409.272715,,8.568605661392212,ensemble-ascending
5,ensemble-0-0-[0-5],483351592960,6,1713146409.2498965,,8.360636234283447,ensemble-ascending
6,ensemble-0-0-[0-3],482965716992,4,1713146409.2269409,,9.696113348007202,ensemble-ascending
7,ensemble-0-0-[0-3],482579841024,4,1713146409.2040186,,9.337247133255005,ensemble-ascending
8,ensemble-0-0-[0-3],482193965056,4,1713146409.180682,,9.475961446762085,ensemble-ascending
9,ensemble-0-0-[0-1],481808089088,2,1713146409.1578498,,8.297906398773193,ensemble-ascending
10,ensemble-0-0-[0-1],481422213120,2,1713146409.1350307,,7.988227367401123,ensemble-ascending
11,ensemble-0-0-[0-1],481019559936,2,1713146409.1110144,,7.974065542221069,ensemble-ascending
