,pod,job,size,start_time,finished_time,elapsed_time,experiment
0,"ensemble-0-0-[9,13]",878455029760,2,1713145905.8756075,,8.736061811447144,ensemble-random
1,ensemble-0-0-[10-11],877700055040,2,1713145905.830433,,8.544596910476685,ensemble-random
2,"ensemble-0-0-[4-8,12]",878069153792,6,1713145905.8528223,,7.847442626953125,ensemble-random
3,ensemble-0-0-[0-3],876945080320,4,1713145905.7856135,,9.76242470741272,ensemble-random
4,"ensemble-0-0-[4-8,16]",877314179072,6,1713145905.8080144,,8.059468030929565,ensemble-random
5,ensemble-0-0-[0-7],876559204352,8,1713145905.7628376,,8.40319299697876,ensemble-random
6,ensemble-0-0-[0-7],876190105600,8,1713145905.740394,,8.435007095336914,ensemble-random
7,ensemble-0-0-[0-7],875804229632,8,1713145905.7177467,,8.328739643096924,ensemble-random
8,ensemble-0-0-[0-1],875418353664,2,1713145905.6950665,,7.893831729888916,ensemble-random
9,ensemble-0-0-[0-5],875032477696,6,1713145905.6721327,,8.147154092788696,ensemble-random
10,ensemble-0-0-[0-3],874663378944,4,1713145905.6497285,,9.352419137954712,ensemble-random
11,ensemble-0-0-[0-3],874277502976,4,1713145905.6265352,,9.290179252624512,ensemble-random
