,node,creation_time,noticed_disappeared_time,elapsed_time
0,gke-ensemble-cluster-default-pool-69242275-42vp,2024-04-15 01:38:54,2024-04-15 02:16:21.455286,2247
2,gke-ensemble-cluster-default-pool-69242275-slvb,2024-04-15 01:38:54,2024-04-15 02:16:21.455286,2247
1,gke-ensemble-cluster-default-pool-69242275-g1gd,2024-04-15 01:38:55,2024-04-15 02:16:21.455286,2246
3,gke-ensemble-cluster-default-pool-69242275-zzhz,2024-04-15 02:10:06,2024-04-15 02:16:20.946455,374
4,gke-ensemble-cluster-default-pool-69242275-ck4q,2024-04-15 02:10:08,2024-04-15 02:16:20.946471,372
5,gke-ensemble-cluster-default-pool-69242275-grjt,2024-04-15 02:10:30,2024-04-15 02:16:15.832304,345
6,gke-ensemble-cluster-default-pool-69242275-pdq6,2024-04-15 02:10:32,2024-04-15 02:16:20.946476,348
7,gke-ensemble-cluster-default-pool-69242275-x8hj,2024-04-15 02:10:35,2024-04-15 02:16:10.587576,335
8,gke-ensemble-cluster-default-pool-69242275-c95b,2024-04-15 02:10:36,2024-04-15 02:16:10.587585,334
