,pod,job,size,start_time,finished_time,elapsed_time,experiment
0,"ensemble-0-0-[0-3,18-21]",807286079488,8,1713148549.5455348,,256.5520086288452,ensemble-static
1,"ensemble-0-0-[4-9,16-17]",809651666944,8,1713148549.6866097,,40.09935522079468,ensemble-static
2,ensemble-0-0-[10-13],810037542912,4,1713148549.7098165,,21.560237884521484,ensemble-static
3,"ensemble-0-0-[14-15,22-23]",810440196096,4,1713148549.7332525,,16.34503149986267,ensemble-static
4,ensemble-0-0-[10-15],808494039040,6,1713148549.6172183,,62.7510404586792,ensemble-static
5,ensemble-0-0-[4-9],808074608640,6,1713148549.592251,,50.66106700897217,ensemble-static
6,ensemble-0-0-[16-17],808879915008,2,1713148549.640669,,12.104704856872559,ensemble-static
7,ensemble-0-0-[22-23],809265790976,2,1713148549.663516,,10.382258176803589,ensemble-static
8,ensemble-0-0-[12-17],806849871872,6,1713148549.5201232,,43.22368931770325,ensemble-static
9,ensemble-0-0-[4-11],806463995904,8,1713148549.4968393,,42.44190001487732,ensemble-static
10,ensemble-0-0-[22-23],807671955456,2,1713148549.5691028,,10.198825359344482,ensemble-static
11,ensemble-0-0-[0-3],806061342720,4,1713148549.4728572,,24.36686396598816,ensemble-static
