,pod,job,size,start_time,finished_time,elapsed_time,experiment
0,lmp-0-0-size-2-2-2-2-0-f2ftl,lmp-0-0-size-2-2-2-2,2,2024-04-15T02:41:25Z,2024-04-15T02:42:08Z,43,static-max-size
1,lmp-0-0-size-2-2-2-2-1-pgqrf,lmp-0-0-size-2-2-2-2,2,2024-04-15T02:41:25Z,2024-04-15T02:42:07Z,42,static-max-size
2,lmp-0-3-size-4-2-2-2-0-8dd4l,lmp-0-3-size-4-2-2-2,4,2024-04-15T02:41:31Z,2024-04-15T02:42:14Z,43,static-max-size
3,lmp-0-3-size-4-2-2-2-1-2v2cj,lmp-0-3-size-4-2-2-2,4,2024-04-15T02:41:31Z,2024-04-15T02:42:13Z,42,static-max-size
4,lmp-0-3-size-4-2-2-2-2-l9r5g,lmp-0-3-size-4-2-2-2,4,2024-04-15T02:41:31Z,2024-04-15T02:42:13Z,42,static-max-size
5,lmp-0-3-size-4-2-2-2-3-hk98g,lmp-0-3-size-4-2-2-2,4,2024-04-15T02:41:31Z,2024-04-15T02:42:13Z,42,static-max-size
6,lmp-0-6-size-6-2-2-2-0-ljwks,lmp-0-6-size-6-2-2-2,6,2024-04-15T02:41:27Z,2024-04-15T02:42:10Z,43,static-max-size
7,lmp-0-6-size-6-2-2-2-1-2jrdk,lmp-0-6-size-6-2-2-2,6,2024-04-15T02:41:27Z,2024-04-15T02:42:09Z,42,static-max-size
8,lmp-0-6-size-6-2-2-2-2-ndbtj,lmp-0-6-size-6-2-2-2,6,2024-04-15T02:41:27Z,2024-04-15T02:42:09Z,42,static-max-size
9,lmp-0-6-size-6-2-2-2-3-929jj,lmp-0-6-size-6-2-2-2,6,2024-04-15T02:41:27Z,2024-04-15T02:42:09Z,42,static-max-size
10,lmp-0-6-size-6-2-2-2-4-7g92c,lmp-0-6-size-6-2-2-2,6,2024-04-15T02:41:27Z,2024-04-15T02:42:09Z,42,static-max-size
11,lmp-0-6-size-6-2-2-2-5-ghvrs,lmp-0-6-size-6-2-2-2,6,2024-04-15T02:41:27Z,2024-04-15T02:42:09Z,42,static-max-size
12,lmp-0-9-size-8-2-2-2-0-b86xv,lmp-0-9-size-8-2-2-2,8,2024-04-15T02:42:18Z,2024-04-15T02:42:54Z,36,static-max-size
13,lmp-0-9-size-8-2-2-2-1-x9dft,lmp-0-9-size-8-2-2-2,8,2024-04-15T02:42:14Z,2024-04-15T02:42:54Z,40,static-max-size
14,lmp-0-9-size-8-2-2-2-2-295cx,lmp-0-9-size-8-2-2-2,8,2024-04-15T02:42:09Z,2024-04-15T02:42:54Z,45,static-max-size
15,lmp-0-9-size-8-2-2-2-3-pkgsr,lmp-0-9-size-8-2-2-2,8,2024-04-15T02:42:14Z,2024-04-15T02:42:54Z,40,static-max-size
16,lmp-0-9-size-8-2-2-2-4-b7w5w,lmp-0-9-size-8-2-2-2,8,2024-04-15T02:42:14Z,2024-04-15T02:42:54Z,40,static-max-size
17,lmp-0-9-size-8-2-2-2-5-2jthh,lmp-0-9-size-8-2-2-2,8,2024-04-15T02:42:14Z,2024-04-15T02:42:54Z,40,static-max-size
18,lmp-0-9-size-8-2-2-2-6-wrgrr,lmp-0-9-size-8-2-2-2,8,2024-04-15T02:42:14Z,2024-04-15T02:42:54Z,40,static-max-size
19,lmp-0-9-size-8-2-2-2-7-82p7c,lmp-0-9-size-8-2-2-2,8,2024-04-15T02:42:14Z,2024-04-15T02:42:54Z,40,static-max-size
20,lmp-1-1-size-2-2-2-2-0-5j9kr,lmp-1-1-size-2-2-2-2,2,2024-04-15T02:41:28Z,2024-04-15T02:42:12Z,44,static-max-size
21,lmp-1-1-size-2-2-2-2-1-t4n6z,lmp-1-1-size-2-2-2-2,2,2024-04-15T02:41:28Z,2024-04-15T02:42:11Z,43,static-max-size
22,lmp-1-10-size-8-2-2-2-0-zxws7,lmp-1-10-size-8-2-2-2,8,2024-04-15T02:41:30Z,2024-04-15T02:42:13Z,43,static-max-size
23,lmp-1-10-size-8-2-2-2-1-r5b22,lmp-1-10-size-8-2-2-2,8,2024-04-15T02:41:30Z,2024-04-15T02:42:12Z,42,static-max-size
