,node,creation_time,noticed_disappeared_time,elapsed_time
0,gke-ensemble-cluster-default-pool-69242275-42vp,2024-04-15 01:38:54,2024-04-15 01:50:31.644272,697
2,gke-ensemble-cluster-default-pool-69242275-slvb,2024-04-15 01:38:54,2024-04-15 01:50:31.644272,697
1,gke-ensemble-cluster-default-pool-69242275-g1gd,2024-04-15 01:38:55,2024-04-15 01:50:31.644272,696
3,gke-ensemble-cluster-default-pool-69242275-l7bg,2024-04-15 01:44:42,2024-04-15 01:49:26.610680,284
4,gke-ensemble-cluster-default-pool-69242275-sp44,2024-04-15 01:44:42,2024-04-15 01:49:34.762449,292
5,gke-ensemble-cluster-default-pool-69242275-vs82,2024-04-15 01:44:42,2024-04-15 01:49:29.317013,287
6,gke-ensemble-cluster-default-pool-69242275-8fd9,2024-04-15 01:44:43,2024-04-15 01:49:40.132545,297
7,gke-ensemble-cluster-default-pool-69242275-wn9x,2024-04-15 01:44:44,2024-04-15 01:50:22.498485,338
13,gke-ensemble-cluster-default-pool-69242275-wsml,2024-04-15 01:44:44,2024-04-15 01:50:04.338249,320
12,gke-ensemble-cluster-default-pool-69242275-vwp7,2024-04-15 01:44:45,2024-04-15 01:50:17.358373,332
11,gke-ensemble-cluster-default-pool-69242275-v96x,2024-04-15 01:44:45,2024-04-15 01:49:40.132552,295
8,gke-ensemble-cluster-default-pool-69242275-8c5c,2024-04-15 01:44:45,2024-04-15 01:50:04.338237,319
10,gke-ensemble-cluster-default-pool-69242275-hr7k,2024-04-15 01:44:45,2024-04-15 01:49:58.928962,313
9,gke-ensemble-cluster-default-pool-69242275-dzdg,2024-04-15 01:44:46,2024-04-15 01:50:04.338246,318
14,gke-ensemble-cluster-default-pool-69242275-2cc9,2024-04-15 01:44:46,2024-04-15 01:49:58.928970,312
15,gke-ensemble-cluster-default-pool-69242275-588j,2024-04-15 01:44:46,2024-04-15 01:50:06.976782,320
16,gke-ensemble-cluster-default-pool-69242275-69vw,2024-04-15 01:44:46,2024-04-15 01:50:06.976792,320
17,gke-ensemble-cluster-default-pool-69242275-8llv,2024-04-15 01:44:46,2024-04-15 01:50:04.338252,318
18,gke-ensemble-cluster-default-pool-69242275-k9q4,2024-04-15 01:44:46,2024-04-15 01:50:27.564838,341
19,gke-ensemble-cluster-default-pool-69242275-xxt4,2024-04-15 01:44:46,2024-04-15 01:49:21.156731,275
22,gke-ensemble-cluster-default-pool-69242275-t88m,2024-04-15 01:44:47,2024-04-15 01:50:06.976798,319
20,gke-ensemble-cluster-default-pool-69242275-6xrb,2024-04-15 01:44:47,2024-04-15 01:50:04.338254,317
23,gke-ensemble-cluster-default-pool-69242275-vpsh,2024-04-15 01:44:47,2024-04-15 01:50:06.976800,319
21,gke-ensemble-cluster-default-pool-69242275-shlp,2024-04-15 01:44:48,2024-04-15 01:50:06.976796,318
